TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV LIQ / PATRI,PSR,P/CAP GIRO,P AT CIR LIQ,LIQ CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
DEXP4,6.98,4.27,3.42,1.24,0.51,20.82,14.32,10.81,2.58,3.76,0.99,0.47,0.37,1.56,-1.48,1.98,36.22,14.81,28.29,0.41,0.59,1.37,32.29,29.54,51679.29,5.63,2.04,0.06,702982591.20
DIRR3,11.65,5.92,10.96,1.20,0.31,36.43,18.18,8.98,5.41,6.12,0.70,0.16,0.98,0.74,-0.62,5.75,10.93,2.81,10.50,0.26,0.74,0.31,5.52,,22624888.00,9.73,1.06,0.27,1747500000.00
DMMO3,1.50,,13.46,-1.40,3.30,57.25,72.59,30.59,5.67,5.58,-0.09,,4.12,61.45,-6.58,1.12,-10.38,24.54,-24.63,-2.36,3.36,0.80,-1.34,,27407939.44,-1.07,0.11,-0.11,764527603.50
DMVF3,5.19,,132.71,0.31,0.18,32.50,-0.19,0.17,-124.35,-102.87,21.48,-0.05,0.23,7.04,-0.24,1.10,0.24,0.13,-2.62,0.57,0.43,0.78,,,968607.72,16.56,0.04,0.09,262628749.98
DOHL3,19.00,0.98,18.58,2.04,1.56,30.33,12.38,11.47,17.21,13.93,0.06,0.01,2.13,3.87,-3.27,4.32,10.98,8.38,9.68,0.76,0.24,0.73,9.46,38.00,1900.00,9.32,1.02,-2.34,1158776750.25
DOHL4,5.85,3.50,5.72,0.63,0.48,30.33,12.38,11.47,5.30,13.93,0.06,0.01,0.66,1.19,-1.01,4.32,10.98,8.38,9.68,0.76,0.24,0.73,9.46,38.00,37759.88,9.32,1.02,-0.72,1158776750.25
DOTZ3,3.41,,-5.48,-5.79,1.11,89.34,-59.40,-66.61,-6.14,-2.59,3.55,,3.65,60.39,-6.87,1.02,-105.75,-20.23,168.98,-0.19,1.19,0.30,,,420448.31,-0.59,-0.62,-0.18,450353080.32
DTCY3,7.85,,-18.14,376.64,5.77,22.43,-49.96,-50.31,-18.26,-23.55,-0.12,2.57,9.12,-22.72,-8.41,0.55,-2076.72,-31.81,-241.13,0.02,0.98,0.63,-8.48,,2331.14,0.02,-0.43,0.01,112052739.60
DTCY4,62.60,,-144.63,3003.49,46.01,22.43,-49.96,-50.31,-145.65,-23.55,-0.12,2.57,72.77,-181.18,-67.05,0.55,-2076.72,-31.81,-241.13,0.02,0.98,0.63,-8.48,,,0.02,-0.43,0.07,112052739.60
DXCO3,13.10,9.78,5.78,1.74,0.74,35.13,23.15,21.12,5.27,6.57,1.29,0.43,1.22,7.73,-1.14,1.38,30.09,12.86,16.95,0.43,0.57,0.61,15.88,135.85,56758309.22,7.54,2.27,0.02,9968614658.10
EALT3,9.75,12.68,6.04,1.17,0.45,23.96,11.51,9.39,4.93,6.61,2.39,0.57,0.57,6.72,-0.77,1.19,19.34,7.39,12.49,0.38,0.62,0.79,26.85,,3425.11,8.34,1.61,0.14,188137500.00
EALT4,7.30,18.56,4.52,0.88,0.33,23.96,11.51,9.39,3.69,6.61,2.39,0.57,0.42,5.03,-0.58,1.19,19.34,7.39,12.49,0.38,0.62,0.79,26.85,,196889.22,8.34,1.61,0.10,188137500.00
ECOR3,7.54,,14.30,2.25,0.32,39.55,33.71,7.90,3.35,8.29,4.94,3.32,1.13,-3.53,-0.38,0.64,15.76,2.24,10.42,0.14,0.86,0.28,10.46,,42027111.66,3.35,0.53,-0.08,5250360048.96
ECPR3,90.25,,-9.87,1.21,0.62,,,,-17.12,-17.09,0.08,-0.01,,174.62,-0.62,2.97,-12.28,-6.29,-7.36,0.51,0.49,0.00,,,27075.00,74.46,-9.14,0.14,171908947.31
ECPR4,90.74,,-9.92,1.22,0.62,,,,-17.21,-17.09,0.08,-0.01,,175.57,-0.63,2.97,-12.28,-6.29,-7.36,0.51,0.49,0.00,,,9036.67,74.46,-9.14,0.14,171908947.31
EEEL3,400.00,7.55,45.14,1.90,0.84,55.97,32.18,6.91,9.70,9.27,-0.43,-0.08,3.12,4.00,-1.48,1.96,4.22,1.87,3.05,0.44,0.56,0.27,-8.60,-37.86,40000.00,210.09,8.86,-0.65,3863227228.00
EEEL4,399.00,8.33,45.03,1.90,0.84,55.97,32.18,6.91,9.67,9.27,-0.43,-0.08,3.11,3.99,-1.48,1.96,4.22,1.87,3.05,0.44,0.56,0.27,-8.60,-37.86,39900.00,210.09,8.86,-0.65,3863227228.00
EGIE3,44.07,5.83,23.00,4.53,0.94,47.14,39.06,12.47,7.34,10.40,3.06,1.89,2.87,13.11,-1.21,1.47,19.71,4.10,16.54,0.21,0.79,0.33,14.25,0.21,59646277.44,9.72,1.92,-0.52,35957935501.80
EKTR3,32.79,2.72,7.73,1.96,0.60,20.46,16.47,9.66,4.53,7.45,3.12,1.35,0.75,5.54,-0.90,1.47,25.42,7.70,12.92,0.30,0.70,0.80,12.33,18.51,7766.67,16.69,4.24,0.20,6064031947.23
EKTR4,29.95,3.28,7.06,1.79,0.54,20.46,16.47,9.66,4.14,7.45,3.12,1.35,0.68,5.06,-0.82,1.47,25.42,7.70,12.92,0.30,0.70,0.80,12.33,18.51,29199.87,16.69,4.24,0.18,6064031947.23
ELEK3,19.11,,24.46,2.66,1.07,11.39,2.82,2.53,21.94,38.76,5.75,0.70,0.62,3.75,-2.60,1.94,10.87,4.36,4.38,0.40,0.60,1.72,1.48,,,7.19,0.78,-0.35,905051916.30
ELEK4,36.99,,47.34,5.15,2.07,11.39,2.82,2.53,42.48,38.76,5.75,0.70,1.20,7.26,-5.02,1.94,10.87,4.36,4.38,0.40,0.60,1.72,1.48,,,7.19,0.78,-0.68,905051916.30
ELET3,43.40,2.22,12.06,0.89,0.36,68.20,34.69,15.01,5.22,7.23,2.03,0.35,1.81,4.29,-0.46,1.66,7.39,3.00,6.40,0.41,0.59,0.20,-9.01,10.51,225886007.13,48.71,3.60,-1.10,67864729959.66
ELET5,64.50,1.64,17.92,1.32,0.54,68.20,34.69,15.01,7.75,7.23,2.03,0.35,2.69,6.38,-0.68,1.66,7.39,3.00,6.40,0.41,0.59,0.20,-9.01,10.51,6450.00,48.71,3.60,-1.64,67864729959.66
ELET6,42.59,2.49,11.83,0.87,0.35,68.20,34.69,15.01,5.12,7.23,2.03,0.35,1.78,4.21,-0.45,1.66,7.39,3.00,6.40,0.41,0.59,0.20,-9.01,10.51,114948841.38,48.71,3.60,-1.08,67864729959.66
ELMD3,14.44,,-176.09,2.63,1.24,35.29,2.19,-2.76,221.81,224.92,3.11,0.04,4.86,5.11,-2.28,2.14,-1.50,-0.70,0.31,0.47,0.53,0.26,,,2691746.97,5.48,-0.08,2.12,2021365393.32
ELPL3,8.31,,1.44,0.69,0.05,16.64,11.89,5.53,0.67,3.02,2.35,2.42,0.08,18.11,-0.07,1.01,47.99,3.49,21.56,0.07,0.93,0.63,12.36,,,12.04,5.78,0.09,1640949623.22
EMAE3,25.35,6.67,6.25,1.27,0.57,27.39,10.61,28.34,16.69,16.91,-5.54,-0.42,1.77,2.37,-0.85,4.06,20.32,9.18,2.16,0.45,0.55,0.32,20.69,22.22,,19.97,4.06,-0.26,1260225518.10
EMAE4,39.90,4.66,9.83,2.00,0.90,27.39,10.61,28.34,26.26,16.91,-5.54,-0.42,2.79,3.73,-1.33,4.06,20.32,9.18,2.16,0.45,0.55,0.32,20.69,22.22,296165.34,19.97,4.06,-0.40,1260225518.10
EMBR3,13.70,,-36.91,0.66,0.18,15.61,4.65,-1.21,9.62,17.33,7.71,0.53,0.45,0.60,-0.42,2.08,-1.77,-0.48,1.75,0.27,0.73,0.40,1.13,,165912805.13,20.91,-0.37,0.40,10144371102.80
